Refactoring Type	Source Method	Target Class
Move Method	net.java.sip.communicator.impl.gui.main.MainFrame::initBounds():void	net.java.sip.communicator.impl.gui.main.contactlist.UnknownContactPanel
Move Method	net.java.sip.communicator.impl.protocol.sip.xcap.BaseHttpXCapClient::getResourceURI(XCapResourceId):URI	net.java.sip.communicator.impl.protocol.sip.xcap.XCapResourceId
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetTypingNotificationsSipImpl::sendResponse(RequestEvent, int):void	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatConversationPanel::processMeCommand(ChatMessage):String	net.java.sip.communicator.impl.gui.main.chat.ChatMessage
Move Method	net.java.sip.communicator.impl.callhistory.CallHistoryServiceImpl::setHistoryService(HistoryService):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.plugin.msofficecomm.Messenger::startConversation(int, String[], String):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.service.protocol.media.MediaAwareCallPeer::logAndFail(String, Throwable):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.call.CallPanel::initButtonIndexes():void	net.java.sip.communicator.impl.gui.main.call.FullScreenButton
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.notifsource.NotificationGroup::removeNotificationContact(NotificationContact):void	net.java.sip.communicator.impl.gui.main.contactlist.notifsource.NotificationContact
Move Method	net.java.sip.communicator.plugin.demuxcontactsource.DemuxContactSource::isPreferredContactDetail(ContactDetail):boolean	net.java.sip.communicator.service.contactsource.ContactDetail
Move Method	net.java.sip.communicator.impl.protocol.sip.security.SipSecurityManager::createCcEntryWithStoredPassword(String):CredentialsCacheEntry	net.java.sip.communicator.service.protocol.AccountID
Move Method	net.java.sip.communicator.slick.protocol.sip.TestProtocolProviderServiceSipImpl::testRegister():void	net.java.sip.communicator.slick.protocol.sip.SipSlickFixture
Move Method	net.java.sip.communicator.impl.protocol.jabber.MobileIndicator::resourcesUpdated(ContactJabberImpl):void	net.java.sip.communicator.impl.protocol.jabber.ContactJabberImpl
Move Method	net.java.sip.communicator.impl.protocol.irc.OperationSetMultiUserChatIrcImpl::openChatRoomWindow(ChatRoomIrcImpl):void	net.java.sip.communicator.impl.protocol.irc.ChatRoomIrcImpl
Move Method	net.java.sip.communicator.impl.protocol.irc.ProtocolProviderServiceIrcImpl::loadProxy():Proxy	net.java.sip.communicator.impl.protocol.irc.OperationSetPersistentPresenceIrcImpl
Move Method	net.java.sip.communicator.slick.protocol.sip.TestAccountUninstallation::testInstallationPersistency():void	net.java.sip.communicator.slick.protocol.sip.SipSlickFixture
Move Method	net.java.sip.communicator.slick.protocol.gibberish.TestAccountUninstallation::testInstallationPersistency():void	net.java.sip.communicator.slick.protocol.gibberish.GibberishSlickFixture
Move Method	net.java.sip.communicator.impl.protocol.irc.ChatRoomIrcImpl::fireMemberRoleEvent(ChatRoomMember, ChatRoomMemberRole):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.call.conference.VideoConferenceCallPanel::isConferenceMemberLocalUser(ConferenceMember):boolean	net.java.sip.communicator.service.protocol.CallConference
Move Method	net.java.sip.communicator.impl.gui.main.chat.conference.ChatRoomConfigurationWindow::computeLabelWidth(ChatRoomConfigurationForm):int	net.java.sip.communicator.impl.gui.customcontrols.TitlePanel
Move Method	net.java.sip.communicator.plugin.otr.authdialog.OtrConfigurationPanel.PrivateKeysPanel::openAccount(AccountID):void	net.java.sip.communicator.service.protocol.AccountID
Move Method	net.java.sip.communicator.impl.protocol.sip.CallPeerMediaHandlerSipImpl::selectSdesCryptoSuite(boolean, SDesControl, MediaDescription):SrtpCryptoAttribute	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.jabber.OperationSetTelephonyConferencingJabberImpl::handleCoin(CallPeerJabberImpl, CoinIQ):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.MetaContactRightButtonMenu::getContactFromMetaContact(String):Contact	net.java.sip.communicator.util.call.MetaContactPhoneUtil
Move Method	net.java.sip.communicator.impl.callhistory.CallHistoryServiceImpl::handleProviderAdded(ProtocolProviderService):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.jabber.ChatRoomJabberImpl::publishPresenceStatus(String):void	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl
Move Method	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl::getJitsiVideobridge():String	net.java.sip.communicator.impl.protocol.jabber.extensions.keepalive.KeepAliveManager
Move Method	net.java.sip.communicator.impl.gui.main.chat.MetaContactChatTransport::getFileThumbnail(File):byte[]	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.chat.history.HistoryWindow::appendMessageToDocument(HTMLDocument, String):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.mock.MockOperationSetBasicTelephony::createCall(Contact, ContactResource, CallConference):Call	net.java.sip.communicator.service.protocol.CallConference
Move Method	net.java.sip.communicator.plugin.spellcheck.LanguageMenuBar::createEnableCheckBox():JCheckBox	net.java.sip.communicator.plugin.spellcheck.SpellChecker
Move Method	net.java.sip.communicator.impl.protocol.sip.security.SipSecurityManager::removeBranchID(Request):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::getDefaultTransport():String	net.java.sip.communicator.impl.protocol.sip.SipRegistrarConnection
Move Method	net.java.sip.communicator.plugin.keybindingchooser.chooser.BindingChooser.IndentStyle::apply(BindingEntry, int):void	net.java.sip.communicator.plugin.keybindingchooser.chooser.BindingEntry
Move Method	net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager::fireAdHocChatRoomListChangedEvent(AdHocChatRoomWrapper, int):void	net.java.sip.communicator.impl.gui.main.chat.conference.AdHocChatRoomWrapper
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetPresenceSipImpl::createVolatileContact(String, String):ContactSipImpl	net.java.sip.communicator.impl.protocol.sip.ServerStoredContactList
Move Method	net.java.sip.communicator.slick.metahistory.TestMetaHistoryService::generateCall(String):void	net.java.sip.communicator.impl.protocol.mock.MockOperationSetBasicTelephony
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.TreeContactList::initKeyActions():void	net.java.sip.communicator.impl.gui.main.contactlist.CallHistoryFilter
Move Method	net.java.sip.communicator.impl.protocol.jabber.AbstractCallPeerMediaHandlerJabberGTalkImpl::selectSdesCryptoSuite(boolean, SDesControl, EncryptionPacketExtension):SrtpCryptoAttribute	net.java.sip.communicator.impl.protocol.jabber.extensions.jingle.EncryptionPacketExtension
Move Method	net.java.sip.communicator.impl.protocol.yahoo.ContactYahooImpl::getImage(boolean):byte[]	net.java.sip.communicator.impl.protocol.yahoo.ServerStoredContactListYahooImpl
Move Method	net.java.sip.communicator.impl.protocol.gibberish.CallGibberishImpl::addCallPeer(CallPeerGibberishImpl):void	net.java.sip.communicator.impl.protocol.gibberish.CallPeerGibberishImpl
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::getContactHeader(SipURI):ContactHeader	net.java.sip.communicator.impl.protocol.sip.SipStackSharing
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetPresenceSipImpl::processAuthenticationChallenge(ClientTransaction, Response, SipProvider):void	net.java.sip.communicator.impl.protocol.sip.EventPackageNotifier
Move Method	net.java.sip.communicator.plugin.desktoputil.presence.avatar.imagepicker.WebcamDialog::grabSnapshot():void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.sip.ServerStoredContactListXivoImpl::phonesRecieved(JSONObject):void	net.java.sip.communicator.impl.protocol.sip.OperationSetPresenceSipImpl
Move Method	net.java.sip.communicator.plugin.addrbook.msoutlook.calendar.CalendarServiceImpl::addCalendarItem(Object[], String):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager::joinChatRoom(AdHocChatRoom):void	net.java.sip.communicator.impl.gui.main.chatroomslist.AdHocChatRoomList
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.MetaContactRightButtonMenu::moveContact(MetaContact):void	net.java.sip.communicator.impl.gui.main.contactlist.MoveSubcontactMessageDialog
Move Method	net.java.sip.communicator.impl.gui.main.presence.GlobalStatusSelectorBox::setSystrayIcon(PresenceStatus):void	net.java.sip.communicator.service.protocol.PresenceStatus
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::sayError(ServerTransaction, int, Header):void	net.java.sip.communicator.impl.protocol.sip.SipMessageFactory
Move Method	net.java.sip.communicator.plugin.otr.authdialog.OtrConfigurationPanel.DefaultOtrPolicyPanel::loadPolicy():void	net.java.sip.communicator.plugin.desktoputil.SIPCommCheckBox
Move Method	net.java.sip.communicator.impl.gui.main.MainFrame::initTitleFont():void	net.java.sip.communicator.impl.gui.main.contactlist.UnknownContactPanel
Move Method	net.java.sip.communicator.impl.gui.main.call.CallPanel::onCallConferenceEventObject(EventObject):void	net.java.sip.communicator.service.protocol.CallConference
Move Method	net.java.sip.communicator.service.protocol.media.MediaHandler::registerRTPExtensionsWithStream(CallPeerMediaHandler<?>, List<RTPExtension>, MediaStream):void	net.java.sip.communicator.service.protocol.media.CallPeerMediaHandler
Move Method	net.java.sip.communicator.impl.msghistory.MessageHistoryServiceImpl::getCurrentlyAvailableProviders():List<ProtocolProviderService>	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatWritePanel::setTransportSelectorBoxVisible(boolean):void	net.java.sip.communicator.impl.gui.main.chat.ChatPanel
Move Method	net.java.sip.communicator.impl.protocol.sip.xcap.BaseHttpXCapClient::getXCapErrorMessage(XCapHttpResponse):String	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.sip.ProtocolProviderServiceSipImpl::sendAck(ClientTransaction):void	net.java.sip.communicator.impl.protocol.sip.SipMessageFactory
Move Method	net.java.sip.communicator.slick.protocol.icq.TestOperationSetFileTransferImpl::prepareContactList():void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.jabber.OperationSetPersistentPresenceJabberImpl::initializePriorities():void	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl
Move Method	net.java.sip.communicator.impl.gui.main.chat.ChatWindowManager::removeNonReadChatState(ChatPanel):void	net.java.sip.communicator.impl.gui.main.chat.ChatPanel
Move Method	net.java.sip.communicator.impl.gui.main.call.CallPanel::setCallTitle(long):void	net.java.sip.communicator.impl.gui.main.call.FullScreenButton
Move Method	net.java.sip.communicator.impl.gui.main.GeneralDialPanel::createDialButton(ImageID, ImageID, ImageID, String):JButton	net.java.sip.communicator.service.resources.ImageID
Move Method	net.java.sip.communicator.impl.protocol.jabber.OperationSetPersistentPresenceJabberImpl::createContactPhotoPresenceListener():void	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl
Move Method	net.java.sip.communicator.slick.protocol.gibberish.TestAccountUninstallation::testUninstallAccount():void	net.java.sip.communicator.slick.protocol.gibberish.GibberishSlickFixture
Move Method	net.java.sip.communicator.service.protocol.AbstractProtocolProviderService::fireRegistrationStateChanged(RegistrationState, RegistrationState, int, String, boolean):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.filehistory.FileHistoryServiceImpl::start(BundleContext):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.UIServiceImpl::forwardNotificationCount():void	net.java.sip.communicator.impl.gui.main.chat.conference.ConferenceChatManager
Move Method	net.java.sip.communicator.impl.protocol.mock.MockCall::addCallPeer(MockCallPeer):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.protocol.irc.ChatRoomIrcImpl::fireMessageDeliveryFailedEvent(int, String, Date, Message):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.neomedia.MediaConfigurationImpl.AudioLevelListenerThread::setDeviceSession(AudioMediaDeviceSession):void	net.java.sip.communicator.plugin.desktoputil.SoundLevelIndicator
Move Method	net.java.sip.communicator.impl.msghistory.MessageHistoryServiceImpl::setHistoryService(HistoryService):void	net.java.sip.communicator.util.Logger
Move Method	net.java.sip.communicator.impl.gui.main.chat.toolBars.MainToolBar::setCallButtonsIcons():void	net.java.sip.communicator.impl.gui.customcontrols.ChatToolbarButton
Move Method	net.java.sip.communicator.impl.protocol.sip.OperationSetDesktopSharingClientSipImpl.RemoteControlNotifierSubscription::findCallPeerByDSSID(ActiveCallsRepositorySipImpl):CallPeerSipImpl	net.java.sip.communicator.impl.protocol.sip.ActiveCallsRepositorySipImpl
Move Method	net.java.sip.communicator.impl.gui.main.call.CallPanel::updateMergeButtonState():void	net.java.sip.communicator.impl.gui.main.call.LocalVideoButton
Move Method	net.java.sip.communicator.impl.gui.main.contactlist.notifsource.NotificationGroup::messageWaitingNotify(MessageWaitingEvent):void	net.java.sip.communicator.service.protocol.event.MessageWaitingEvent
Move Method	net.java.sip.communicator.impl.gui.main.MainFrame::createTopComponent():JComponent	net.java.sip.communicator.impl.gui.main.contactlist.UnknownContactPanel
Move Method	net.java.sip.communicator.impl.gui.main.call.conference.BasicConferenceParticipantPanel::securityOn(CallPeerSecurityOnEvent):void	net.java.sip.communicator.service.protocol.event.CallPeerSecurityOnEvent
Move Method	net.java.sip.communicator.impl.protocol.jabber.ProtocolProviderServiceJabberImpl::createLoginStrategy():JabberLoginStrategy	net.java.sip.communicator.service.protocol.AccountID
Move Method	net.java.sip.communicator.slick.protocol.sip.TestAccountUninstallation::testUninstallAccount():void	net.java.sip.communicator.slick.protocol.sip.SipSlickFixture
Move Method	net.java.sip.communicator.impl.neomedia.MediaConfigurationImpl.AudioLevelListenerThread::init(AudioSystem, JComboBox, SoundLevelIndicator):void	net.java.sip.communicator.plugin.desktoputil.SoundLevelIndicator
Move Method	net.java.sip.communicator.impl.gui.UIServiceImpl::initCustomFonts():void	net.java.sip.communicator.impl.gui.main.MainFrame
