com_intellij_FileSetTestCase$ActualTest.java/[CN]/	com_intellij_testFramework_LightPlatformTestCase.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_group_ArrangementGroupingComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_ui_ArrangementRepresentationAware.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementEditorComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_animation_ArrangementAnimationManager$Callback.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementEditorComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_ui_ArrangementEditorAware.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementEditorComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_ui_ArrangementRepresentationAware.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchNodeComponentFactory$RemoveAtomConditionCallback.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_animation_ArrangementAnimationManager$Callback.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchingRulesPanel$1.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchingRulesControl$RepresentationCallback.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementSectionRulesControl.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchingRulesControl.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementSectionRulesControl$MatchingRulesRenderer.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchingRulesControl$MatchingRulesRendererBase.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_ArrangementSectionRulesValidator.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchingRulesValidator.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_EmptyArrangementRuleComponent.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_ui_ArrangementRepresentationAware.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_tokens_ArrangementRuleAliasControl.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchingRulesControl.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_match_tokens_ArrangementRuleAliasesPanel$1.java/[CN]/	com_intellij_application_options_codeStyle_arrangement_match_ArrangementMatchingRulesControl$RepresentationCallback.java/[CN]/
com_intellij_application_options_codeStyle_arrangement_util_ArrangementListRowDecorator$MyActionButton.java/[CN]/	com_intellij_openapi_actionSystem_impl_ActionButton.java/[CN]/
com_intellij_application_options_colors_ColorAndFontDescription.java/[CN]/	com_intellij_application_options_colors_EditorSchemeAttributeDescriptor.java/[CN]/
com_intellij_application_options_colors_ColorAndFontDescriptionPanel.java/[CN]/	com_intellij_application_options_colors_OptionsPanelImpl$ColorDescriptionPanel.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions.java/[CN]/	com_intellij_application_options_editor_EditorOptionsProvider.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$1.java/[CN]/	com_intellij_application_options_colors_ColorAndFontPanelFactoryEx.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$3.java/[CN]/	com_intellij_application_options_colors_ColorAndFontSettingsListener$Abstract.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$ConsoleFontConfigurableFactory.java/[CN]/	com_intellij_application_options_colors_ColorAndFontPanelFactoryEx.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$ConsoleFontConfigurableFactory$1.java/[CN]/	com_intellij_application_options_colors_FontEditorPreview.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$ConsoleFontConfigurableFactory$2.java/[CN]/	com_intellij_application_options_colors_NewColorAndFontPanel.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$EditorSettingColorDescription.java/[CN]/	com_intellij_application_options_colors_ColorAndFontDescription.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$FontConfigurableFactory.java/[CN]/	com_intellij_application_options_colors_ColorAndFontPanelFactory.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$FontConfigurableFactory$1.java/[CN]/	com_intellij_application_options_colors_NewColorAndFontPanel.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$InnerSearchableConfigurable.java/[CN]/	com_intellij_application_options_OptionsContainingConfigurable.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$InnerSearchableConfigurable$1.java/[CN]/	com_intellij_application_options_colors_ColorAndFontSettingsListener$Abstract.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$InnerSearchableConfigurable$2.java/[CN]/	com_intellij_application_options_colors_ColorAndFontSettingsListener$Abstract.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$MyColorScheme.java/[CN]/	com_intellij_openapi_editor_colors_impl_EditorColorsSchemeImpl.java/[CN]/
com_intellij_application_options_colors_ColorAndFontOptions$SchemeTextAttributesDescription.java/[CN]/	com_intellij_application_options_colors_TextAttributesDescription.java/[CN]/
com_intellij_application_options_colors_ColorAndFontPanelFactoryEx.java/[CN]/	com_intellij_application_options_colors_ColorAndFontPanelFactory.java/[CN]/
com_intellij_application_options_colors_ColorAndFontSettingsListener$Abstract.java/[CN]/	com_intellij_application_options_colors_ColorAndFontSettingsListener.java/[CN]/
com_intellij_application_options_colors_ColorOptionsTree$1.java/[CN]/	com_intellij_application_options_colors_ColorOptionsTree$DescriptorMatcher.java/[CN]/
com_intellij_application_options_colors_ColorOptionsTree$2.java/[CN]/	com_intellij_application_options_colors_ColorOptionsTree$DescriptorMatcher.java/[CN]/
com_intellij_application_options_colors_ConsoleFontOptions.java/[CN]/	com_intellij_application_options_colors_FontOptions.java/[CN]/
com_intellij_application_options_colors_FileStatusColorsPageFactory.java/[CN]/	com_intellij_application_options_colors_ColorAndFontPanelFactory.java/[CN]/
