com.google.javascript.jscomp.OptimizeParameters.optimizeCallSite(com.google.javascript.jscomp.DefinitionUseSiteFinder, java.util.List<com.google.javascript.jscomp.OptimizeParameters.Parameter>, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PureFunctionIdentifier.FunctionAnalyzer.visitAssignmentOrUnaryOperator(com.google.javascript.jscomp.PureFunctionIdentifier.FunctionInformation, com.google.javascript.jscomp.Scope, com.google.javascript.rhino.Node);FunctionInformation
com.google.javascript.jscomp.RewritePolyfills.Polyfills.checkSuffix(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.SymbolTable.getSymbolDeclaredBy(com.google.javascript.rhino.jstype.FunctionType);FunctionType
com.google.javascript.jscomp.SymbolTable.getSymbolForInstancesOf(com.google.javascript.rhino.jstype.FunctionType);FunctionType
com.google.javascript.jscomp.TypeInference.ensurePropertyDeclaredHelper(com.google.javascript.rhino.Node, com.google.javascript.rhino.jstype.ObjectType);ObjectType
com.google.javascript.jscomp.newtypes.Namespace.isDefined(com.google.javascript.jscomp.newtypes.QualifiedName);QualifiedName
com.google.javascript.refactoring.SuggestedFix.Builder.replaceRange(com.google.javascript.rhino.Node, com.google.javascript.rhino.Node, java.lang.String);Node
com.google.debugging.sourcemap.SourceMapConsumerV3.MappingBuilder.tryConsumeToken(char);StringCharIterator
com.google.javascript.jscomp.AbstractCommandLineRunner.expandCommandLinePath(java.lang.String, com.google.javascript.jscomp.JSModule);CommandLineConfig
com.google.javascript.jscomp.AstValidator.validateMinimumChildCount(com.google.javascript.rhino.Node, int);Node
com.google.javascript.jscomp.BranchCoverageInstrumentationCallback.instrumentBranchCoverage(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.jscomp.FileInstrumentationData);FileInstrumentationData
com.google.javascript.jscomp.CheckJSDoc.isNameIntializeWithClass(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.CheckJSDoc.validateNoCollapse(com.google.javascript.rhino.Node, com.google.javascript.rhino.JSDocInfo);Node
com.google.javascript.jscomp.ConformanceRules.BanGlobalVars.isWhitelisted(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.FunctionTypeBuilder.maybeSetBaseType(com.google.javascript.rhino.jstype.FunctionType);FunctionType
com.google.javascript.jscomp.GlobalNamespace.scanFromNode(com.google.javascript.jscomp.GlobalNamespace.BuildGlobalNamespace, com.google.javascript.jscomp.JSModule, com.google.javascript.jscomp.Scope, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.InferConsts.considerVar(com.google.javascript.jscomp.Var, com.google.javascript.jscomp.ReferenceCollectingCallback.ReferenceCollection);ReferenceCollection
com.google.javascript.jscomp.InlineVariables.InliningBehavior.removeDeclaration(com.google.javascript.jscomp.ReferenceCollectingCallback.Reference);Reference
com.google.javascript.jscomp.JSModuleGraph.createEntryPointInputs(com.google.javascript.jscomp.DependencyOptions, java.util.List<com.google.javascript.jscomp.CompilerInput>, com.google.javascript.jscomp.deps.SortedDependencies<com.google.javascript.jscomp.CompilerInput>);DependencyOptions
com.google.javascript.jscomp.NTIScope.getNamespace(com.google.javascript.jscomp.newtypes.QualifiedName);QualifiedName
com.google.javascript.jscomp.NewTypeInference.isConstructorCall(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PeepholeRemoveDeadCode.removeIfUnnamedBreak(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.PolymerClassRewriter.appendBehaviorMembersToBlock(com.google.javascript.jscomp.PolymerClassDefinition, com.google.javascript.rhino.Node);PolymerClassDefinition
com.google.javascript.jscomp.ProcessClosurePrimitives.handleTypedefDefinition(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.ProcessClosurePrimitives.processAddDependency(com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);AbstractCompiler
com.google.javascript.jscomp.ProcessClosurePrimitives.processForwardDeclare(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);AbstractCompiler
com.google.javascript.jscomp.ProcessCommonJSModules.removeIIFEWrapper(com.google.javascript.rhino.Node);Compiler
com.google.javascript.jscomp.SanityCheck.sanityCheckNormalization(com.google.javascript.rhino.Node, com.google.javascript.rhino.Node);AbstractCompiler
com.google.javascript.jscomp.TypeInference.isUnflowable(com.google.javascript.jscomp.TypedVar);TypedVar
com.google.javascript.jscomp.TypedCodeGenerator.getParameterNodeJSDocType(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.VerboseMessageFormatter.format(com.google.javascript.jscomp.JSError);JSError
com.google.javascript.jscomp.WhitelistWarningsGuard.formatWarning(com.google.javascript.jscomp.JSError, boolean);JSError
com.google.javascript.jscomp.lint.CheckMissingSemicolon.checkSemicolon(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.newtypes.Namespace.getSubnamespace(com.google.javascript.jscomp.newtypes.QualifiedName);QualifiedName
com.google.javascript.jscomp.parsing.TypeTransformationParser.isValidStringParam(com.google.javascript.rhino.Node);Node
com.google.javascript.refactoring.SuggestedFix.Builder.addChildToFront(com.google.javascript.rhino.Node, java.lang.String);Node
com.google.javascript.refactoring.SuggestedFix.Builder.insertAfter(com.google.javascript.rhino.Node, java.lang.String);Node
com.google.javascript.refactoring.SuggestedFix.Builder.deleteWithoutRemovingWhitespace(com.google.javascript.rhino.Node);Node
com.google.javascript.rhino.JSDocInfoBuilder.hasAnySingletonTypeTags();JSDocInfo
com.google.debugging.sourcemap.SourceMapConsumerV3.MappingBuilder.entryComplete();StringCharIterator
com.google.debugging.sourcemap.SourceMapGeneratorV3.MappingTraversal.getAdjustedCol(com.google.debugging.sourcemap.FilePosition);FilePosition
com.google.javascript.jscomp.AstValidator.validateAssignmentTarget(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.AstValidator.validateObjectLiteralKeyName(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.AstValidator.validateMaximumChildCount(com.google.javascript.rhino.Node, int);Node
com.google.javascript.jscomp.CallGraph.getCallsiteForAstNode(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.CallGraph.lookupFunctionForDefinition(com.google.javascript.jscomp.DefinitionsRemover.Definition);Definition
com.google.javascript.jscomp.CheckEventfulObjectDisposal.Traversal.localEventfulObjectAssign(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);NodeTraversal
com.google.javascript.jscomp.CheckSuspiciousCode.checkInvalidIn(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.CheckSuspiciousCode.checkNegatedLeftOperandOfInOperator(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.CollapseProperties.flattenSimpleStubDeclaration(com.google.javascript.jscomp.GlobalNamespace.Name, java.lang.String);Name
com.google.javascript.jscomp.CollapseProperties.updateFunctionDeclarationAtFunctionNode(com.google.javascript.jscomp.GlobalNamespace.Name, boolean);Name
com.google.javascript.jscomp.CollapseVariableDeclarations.GatherCollapses.canBeRedeclared(com.google.javascript.rhino.Node, com.google.javascript.jscomp.Scope);Scope
com.google.javascript.jscomp.CollectFileOverviewVisibility.visit(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.ConformanceRules.AbstractRule.report(com.google.javascript.jscomp.NodeTraversal, com.google.javascript.rhino.Node, com.google.javascript.jscomp.ConformanceRules.ConformanceResult);ConformanceResult
com.google.javascript.jscomp.ConformanceRules.AbstractTypeRestrictionRule.isTypeImmediatelyTightened(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.ConformanceRules.BannedProperty.isCandidatePropUse(com.google.javascript.rhino.Node, com.google.javascript.jscomp.ConformanceRules.BannedProperty.Property);Node
com.google.javascript.jscomp.ConvertToTypedInterface.RemoveCode.removeNode(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.DartSuperAccessorsPass.reportEs6Change();AbstractCompiler
com.google.javascript.jscomp.DeadPropertyAssignmentElimination.FindCandidateAssignmentTraversal.visitBlock(com.google.javascript.rhino.Node);Node
com.google.javascript.jscomp.DisambiguateProperties.buildPropNames(com.google.javascript.jscomp.DisambiguateProperties.Property);Property
