Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.drools.compiler.compiler.PackageDescrResourceVisitor::visit(org.drools.compiler.lang.descr.PatternDescr):void	org.drools.compiler.lang.descr.PatternDescr	1/2	
Move Method	org.drools.compiler.kie.builder.impl.KieContainerImpl::rebuildAll(org.kie.api.builder.ReleaseId, org.drools.compiler.kie.builder.impl.ResultsImpl, boolean, org.kie.api.builder.model.KieBaseModel, org.drools.compiler.builder.impl.KnowledgeBuilderImpl, org.kie.internal.builder.CompositeKnowledgeBuilder):void	org.drools.compiler.builder.impl.KnowledgeBuilderImpl	1/2	
Move Method	org.drools.compiler.lang.MVELDumper::processConnectiveDescr(java.lang.StringBuilder, org.drools.compiler.lang.descr.BaseDescr, org.drools.compiler.lang.descr.ConstraintConnectiveDescr, int, boolean, org.drools.compiler.lang.MVELDumper.MVELDumperContext):void	org.drools.compiler.lang.MVELDumper.MVELDumperContext	1/2	
Move Method	org.drools.compiler.lang.ParserHelper::setEnd(org.drools.compiler.lang.descr.BaseDescr):void	org.drools.compiler.lang.descr.BaseDescr	1/2	
Move Method	org.drools.compiler.lang.descr.PackageDescr::afterRuleAdded(org.drools.compiler.lang.descr.RuleDescr):void	org.drools.compiler.lang.descr.RuleDescr	1/2	
Move Method	org.drools.compiler.rule.builder.ConditionalBranchBuilder::getLastPattern(org.drools.compiler.rule.builder.RuleBuildContext):org.drools.core.rule.Pattern	org.drools.compiler.rule.builder.RuleBuildContext	1/2	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::processBehaviors(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.PatternDescr, org.drools.core.rule.Pattern):void	org.drools.compiler.rule.builder.RuleBuildContext	1/2	
Move Method	org.drools.compiler.rule.builder.dialect.asm.AbstractASMEvalBuilder::buildEval(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.EvalDescr, org.drools.compiler.compiler.AnalysisResult, org.drools.core.rule.Declaration[]):org.drools.core.rule.RuleConditionElement	org.drools.compiler.lang.descr.EvalDescr	1/2	
Move Method	org.drools.compiler.rule.builder.dialect.mvel.MVELDialect::getMVELCompilationUnit(java.lang.String, org.drools.compiler.compiler.AnalysisResult, org.drools.core.rule.Declaration[], org.drools.core.rule.Declaration[], java.util.Map<java.lang.String,java.lang.Class<?>>, org.drools.compiler.rule.builder.PackageBuildContext, java.lang.String, java.lang.Class, boolean, org.drools.core.base.mvel.MVELCompilationUnit.Scope):org.drools.core.base.mvel.MVELCompilationUnit	org.drools.compiler.rule.builder.PackageBuildContext	1/2	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::normalizeAnnotation(org.kie.soup.project.datamodel.commons.types.TypeResolver, org.drools.compiler.lang.descr.AnnotationDescr):org.drools.compiler.lang.descr.AnnotationDescr	org.drools.compiler.lang.descr.AnnotationDescr	2/6	
Move Method	org.drools.compiler.builder.impl.KnowledgeBuilderImpl::initRuleDescr(org.drools.compiler.lang.descr.PackageDescr, org.drools.compiler.compiler.PackageRegistry, org.drools.compiler.lang.descr.RuleDescr):void	org.drools.compiler.lang.descr.RuleDescr	2/4	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationNameResolver::discoverHierarchyForRedeclarations(org.drools.compiler.lang.descr.TypeDeclarationDescr, org.drools.compiler.lang.descr.PackageDescr, org.kie.soup.project.datamodel.commons.types.TypeResolver):void	org.drools.compiler.lang.descr.TypeDeclarationDescr	2/4	
Move Method	org.drools.compiler.rule.builder.QueryElementBuilder::processBinding(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.BaseDescr, org.drools.core.rule.Declaration[], org.drools.core.rule.QueryArgument[], java.util.List<org.drools.core.rule.Declaration>, org.drools.core.spi.InternalReadAccessor, org.drools.core.rule.Pattern, org.drools.compiler.lang.descr.BindingDescr):void	org.drools.compiler.lang.descr.BindingDescr	2/4	
Move Method	org.drools.compiler.builder.impl.TypeDeclarationNameResolver::ensureQualifiedDeclarationName(org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr, org.drools.compiler.lang.descr.PackageDescr, org.kie.soup.project.datamodel.commons.types.TypeResolver, java.util.List<org.drools.compiler.builder.impl.TypeDefinition>):void	org.drools.compiler.lang.descr.AbstractClassTypeDeclarationDescr	2/3	
Move Method	org.drools.compiler.lang.MVELDumper::processAtomicExpression(java.lang.StringBuilder, org.drools.compiler.lang.MVELDumper.MVELDumperContext, org.drools.compiler.lang.descr.AtomicExprDescr, org.drools.compiler.lang.descr.ConstraintConnectiveDescr, int):java.lang.String[]	org.drools.compiler.lang.descr.AtomicExprDescr	2/3	
Move Method	org.drools.compiler.lang.MVELDumper::rewriteOperator(org.drools.compiler.lang.MVELDumper.MVELDumperContext, java.lang.StringBuilder, java.lang.String, org.drools.compiler.lang.descr.OperatorDescr, java.lang.String):void	org.drools.compiler.lang.descr.OperatorDescr	2/3	
Move Method	org.drools.compiler.rule.builder.PatternBuilder::buildRuleBindings(org.drools.compiler.rule.builder.RuleBuildContext, org.drools.compiler.lang.descr.PatternDescr, org.drools.core.rule.Pattern, org.drools.compiler.lang.descr.BindingDescr, org.drools.core.rule.TypeDeclaration):void	org.drools.compiler.lang.descr.BindingDescr	2/3	
