com_jwetherell_openmap_common_MGRSPoint.java/[CN]/	com_jwetherell_openmap_common_ZonedUTMPoint.java/[CN]/
net_osmand_plus_download_AbstractDownloadActivity.java/[CN]/	net_osmand_plus_activities_ActionBarProgressActivity.java/[CN]/
net_osmand_plus_activities_FavoritesTreeFragment.java/[CN]/	net_osmand_plus_base_OsmandExpandableListFragment.java/[CN]/
net_osmand_plus_activities_FavoritesListFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
net_osmand_plus_activities_TrackActivity.java/[CN]/	net_osmand_plus_activities_TabActivity.java/[CN]/
net_osmand_plus_activities_SettingsNavigationActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_activities_OsmandExpandableListActivity.java/[CN]/	net_osmand_plus_activities_ActionBarProgressActivity.java/[CN]/
net_osmand_plus_activities_SettingsGeneralActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_activities_ActionBarPreferenceActivity.java/[CN]/	net_osmand_plus_activities_AppCompatPreferenceActivity.java/[CN]/
net_osmand_plus_activities_OsmandListActivity.java/[CN]/	net_osmand_plus_activities_ActionBarProgressActivity.java/[CN]/
net_osmand_plus_activities_HelpActivity.java/[CN]/	net_osmand_plus_activities_OsmandActionBarActivity.java/[CN]/
net_osmand_plus_activities_EditPOIFilterActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
net_osmand_plus_activities_PrintDialogActivity.java/[CN]/	net_osmand_plus_activities_ActionBarProgressActivity.java/[CN]/
net_osmand_plus_activities_MapActivity.java/[CN]/	net_osmand_plus_activities_OsmandActionBarActivity.java/[CN]/
net_osmand_plus_activities_PluginActivity.java/[CN]/	net_osmand_plus_activities_OsmandActionBarActivity.java/[CN]/
net_osmand_plus_activities_PluginsActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
net_osmand_plus_activities_ShowRouteInfoActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
net_osmand_plus_activities_ActionBarProgressActivity.java/[CN]/	net_osmand_plus_activities_OsmandActionBarActivity.java/[CN]/
net_osmand_plus_activities_search_SearchActivity.java/[CN]/	net_osmand_plus_activities_TabActivity.java/[CN]/
net_osmand_plus_activities_search_SearchRegionByNameActivity.java/[CN]/	net_osmand_plus_activities_search_SearchByNameAbstractActivity.java/[CN]/
net_osmand_plus_activities_search_SearchByNameAbstractActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
net_osmand_plus_activities_search_SearchCityByNameActivity.java/[CN]/	net_osmand_plus_activities_search_SearchByNameAbstractActivity.java/[CN]/
net_osmand_plus_activities_search_SearchStreet2ByNameActivity.java/[CN]/	net_osmand_plus_activities_search_SearchByNameAbstractActivity.java/[CN]/
net_osmand_plus_activities_search_SearchAddressActivity.java/[CN]/	net_osmand_plus_activities_OsmandActionBarActivity.java/[CN]/
net_osmand_plus_activities_search_GeoIntentActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
net_osmand_plus_activities_search_SearchPOIActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
net_osmand_plus_activities_search_SearchPoiFilterFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
net_osmand_plus_activities_search_SearchStreetByNameActivity.java/[CN]/	net_osmand_plus_activities_search_SearchByNameAbstractActivity.java/[CN]/
net_osmand_plus_activities_search_SearchHistoryFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
net_osmand_plus_activities_search_SearchBuildingByNameActivity.java/[CN]/	net_osmand_plus_activities_search_SearchByNameAbstractActivity.java/[CN]/
net_osmand_plus_activities_SettingsActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
net_osmand_plus_activities_actions_StartGPSStatus.java/[CN]/	net_osmand_plus_activities_actions_OsmAndAction.java/[CN]/
net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/	net_osmand_plus_activities_ActionBarPreferenceActivity.java/[CN]/
net_osmand_plus_activities_ContributionVersionActivity.java/[CN]/	net_osmand_plus_activities_OsmandListActivity.java/[CN]/
net_osmand_plus_activities_TabActivity.java/[CN]/	net_osmand_plus_activities_ActionBarProgressActivity.java/[CN]/
net_osmand_plus_activities_FavoritesListActivity.java/[CN]/	net_osmand_plus_activities_OsmandActionBarActivity.java/[CN]/
net_osmand_plus_mapmarkers_MapMarkerSelectionFragment.java/[CN]/	net_osmand_plus_base_BaseOsmAndDialogFragment.java/[CN]/
net_osmand_plus_srtmplugin_SRTMPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_srtmplugin_HillshadeLayer.java/[CN]/	net_osmand_plus_views_MapTileLayer.java/[CN]/
net_osmand_plus_audionotes_AudioVideoNoteRecordingMenuFullScreen.java/[CN]/	net_osmand_plus_audionotes_AudioVideoNoteRecordingMenu.java/[CN]/
net_osmand_plus_audionotes_AudioNotesLayer.java/[CN]/	net_osmand_plus_views_OsmandMapLayer.java/[CN]/
net_osmand_plus_audionotes_NotesFragment.java/[CN]/	net_osmand_plus_base_OsmAndListFragment.java/[CN]/
net_osmand_plus_audionotes_AudioVideoNotesPlugin.java/[CN]/	net_osmand_plus_OsmandPlugin.java/[CN]/
net_osmand_plus_audionotes_AudioVideoNoteMenuBuilder.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuBuilder.java/[CN]/
net_osmand_plus_audionotes_DashAudioVideoNotesFragment.java/[CN]/	net_osmand_plus_dashboard_DashBaseFragment.java/[CN]/
net_osmand_plus_audionotes_AudioVideoNoteMenuController.java/[CN]/	net_osmand_plus_mapcontextmenu_MenuController.java/[CN]/
net_osmand_plus_audionotes_SettingsAudioVideoActivity.java/[CN]/	net_osmand_plus_activities_SettingsBaseActivity.java/[CN]/
