org_jivesoftware_openfire_group_DefaultGroupPropertyMap.java/[CN]/	org_jivesoftware_util_PersistableMap.java/[CN]/
org_jivesoftware_openfire_group_DefaultGroupProvider.java/[CN]/	org_jivesoftware_openfire_group_AbstractGroupProvider.java/[CN]/
org_jivesoftware_openfire_net_XMLSocketWriter.java/[CN]/	org_jivesoftware_util_XMLWriter.java/[CN]/
org_jivesoftware_openfire_net_ComponentStanzaHandler.java/[CN]/	org_jivesoftware_openfire_net_StanzaHandler.java/[CN]/
org_jivesoftware_openfire_net_MulticastDNSService.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_net_BlockingAcceptingMode.java/[CN]/	org_jivesoftware_openfire_net_SocketAcceptingMode.java/[CN]/
org_jivesoftware_openfire_net_MultiplexerStanzaHandler.java/[CN]/	org_jivesoftware_openfire_net_StanzaHandler.java/[CN]/
org_jivesoftware_openfire_net_BlockingReadingMode.java/[CN]/	org_jivesoftware_openfire_net_SocketReadingMode.java/[CN]/
org_jivesoftware_openfire_net_ClientStanzaHandler.java/[CN]/	org_jivesoftware_openfire_net_StanzaHandler.java/[CN]/
org_jivesoftware_openfire_net_ServerSocketReader.java/[CN]/	org_jivesoftware_openfire_net_SocketReader.java/[CN]/
org_jivesoftware_openfire_net_ServerStanzaHandler.java/[CN]/	org_jivesoftware_openfire_net_StanzaHandler.java/[CN]/
org_jivesoftware_openfire_net_MXParser.java/[CN]/	org_jivesoftware_openfire_net_MXParser.java/[CN]/
org_jivesoftware_openfire_vcard_VCardManager.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_transport_TransportHandler.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_SessionManager.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_handler_IQVersionHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_handler_IQBindHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_handler_IQOfflineMessagesHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_handler_IQSessionEstablishmentHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_handler_IQPrivateHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_handler_PresenceUpdateHandler.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_handler_PresenceSubscribeHandler.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
org_jivesoftware_openfire_handler_IQRosterHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_handler_IQvCardHandler.java/[CN]/	org_jivesoftware_openfire_handler_IQHandler.java/[CN]/
org_jivesoftware_openfire_handler_IQHandler.java/[CN]/	org_jivesoftware_openfire_container_BasicModule.java/[CN]/
