CommitId;RefactoringType;RefactoringDetail
0b34f587ee5e19c24b29a9c3e26374607ff05e8f;Move Method;Move Method	public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.util.QuadroDeCargosUtil to public mostrarQuadroDeCargos(qc QuadroDeCargosVO) : void from class br.mil.eb.cds.sisdot.qc.modelo.vo.qc.FracaoQcVO
96afcbb10281628d6b03751c3dacbae5c992f19f;Rename Method;Rename Method	public deve_gerar_QDM_baseadoEmChamadores(descricao String, codigo String) : void renamed to public que_eu_quero_gerar_o_QDM_informando_codigo_e_descricao(codigo String, descricao String) : void in class br.mil.eb.cds.sisdot.qdm.servico.gerar.GerarQdmSpec
d2751a109c4b20fa5e31c9ca9cde996b2fa7c695;Extract Method;Extract Method	private adicioinaCargosDoComponenteNorma(normaAgrupadaPorFracao HashMap<String,List<String>>, fracao String, componente ComponenteNormaDotacao) : void extracted from private gerarNormasDotacaoChamadorEstruturaOrganizacional(chamador Chamador) : void in class br.mil.eb.cds.sisdot.chamador.servico.ChamadorServicoImpl
08773d9dccb52595063a2cb3963d6df515ad0058;Extract Variable;Extract Variable	cm : Optional<ClasseMaterial> in method private checarCodigoAtivoDuplicado(entidade ClasseMaterial, erros List<String>) : void from class br.mil.eb.cds.sisdot.servico.ClasseMaterialServicoImpl
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Attribute;Rename Attribute	qdmHistoricoMB : QuadroDotacaoMaterialPrevistoHistoricoMB to qdmpHistoricoMB : QuadroDotacaoMaterialPrevistoHistoricoMB in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoCadastroMB
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Attribute;Rename Attribute	qdmValidacaoMB : QuadroDotacaoMaterialPrevistoValidacaoMB to qdmpValidacaoMB : QuadroDotacaoMaterialPrevistoValidacaoMB in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoCadastroMB
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Method;Rename Method	private inicializaDadosQdm(qdm QuadroDotacaoMaterial, vo QDMVO) : void renamed to private inicializaDadosQdmp(qdmp QuadroDotacaoMaterialPrevisto, vo QDMPVO) : void in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoListagemMB
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Method;Rename Method	private instanciaQDMVO(qc QuadroDeCargosVO) : QDMVO renamed to private instanciaQDMPVO(qcp QuadroDeCargosPrevistoVO) : QDMPVO in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoListagemMB
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Method;Rename Method	public getQuadrosDeCargos() : List<QDMVO> renamed to public getQuadrosDeCargosPrevistos() : List<QDMPVO> in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoListagemMB
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Variable;Rename Variable	quadrosDeCargosPrevistos : List<QuadroDeCargosPrevistoVO> to qcps : List<QuadroDeCargosPrevistoVO> in method public pesquisar() : void in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoListagemMB
2f09d61a1ea8b175cdb1643d2163282d903fb184;Rename Parameter;Rename Parameter	qdm : QuadroDotacaoMaterial to qdmp : QuadroDotacaoMaterialPrevisto in method private inicializaDadosQdmp(qdmp QuadroDotacaoMaterialPrevisto, vo QDMPVO) : void in class br.mil.eb.cds.sisdot.beans.qdmp.QuadroDotacaoMaterialPrevistoListagemMB
