CommitId;RefactoringType;RefactoringDetail
e3450c9797d76759ec5fbbed223339200deb8629;Inline Method;Inline Method	private localizacao(boletim Boletim) : void inlined to public gerar(boletim Boletim, infos ImpressaoInfos) : File in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoBoletim
e3450c9797d76759ec5fbbed223339200deb8629;Extract Variable;Extract Variable	arquivo : FileOutputStream in method public gerar(boletim Boletim, infos ImpressaoInfos) : File from class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoBoletim
e3450c9797d76759ec5fbbed223339200deb8629;Parameterize Variable;Parameterize Variable	om : OrganizacaoMilitar to infos : ImpressaoInfos in method private contextoOm(infos ImpressaoInfos) : void in class br.mil.eb.cds.sisbol.boletim.servico.impressao.NovaImpressaoBoletim
608980b46fab26f3ea179372ba5e8955154d26a4;Extract Interface;Extract Interface	br.mil.eb.cds.sisbol.boletim.util.TramitacaoWorkflow from classes [br.mil.eb.cds.sisbol.boletim.servico.NotaServico]
608980b46fab26f3ea179372ba5e8955154d26a4;Move Method;Move Method	public verificaMilitarResponsavel(no NoWorkflow, militar Militar) : boolean from class br.mil.eb.cds.sisbol.boletim.servico.NotaServico to package verificaMilitarResponsavel(no NoWorkflow, militar Militar) : boolean from class br.mil.eb.cds.sisbol.boletim.util.TramitacaoWorkflow
608980b46fab26f3ea179372ba5e8955154d26a4;Move Method;Move Method	private filtrarWorkflows(workflows List<Workflow>) : List<Workflow> from class br.mil.eb.cds.sisbol.boletim.servico.NotaServico to package filtrarWorkflows(workflows List<Workflow>) : List<Workflow> from class br.mil.eb.cds.sisbol.boletim.util.TramitacaoWorkflow
9d5693366f8b6befb69eebfe40e566c3f7d79b3e;Rename Parameter;Rename Parameter	idAlteracao : Long to id : Long in method public impressaoPDF(id Long) : Response in class br.mil.eb.cds.sisbol.boletim.resources.AlteracaoResource
b21b3cfe5b3b5525d5cf09eee54fcee12c1c6a19;Rename Parameter;Rename Parameter	idBoletim : Long to id : Long in method public impressaoPDF(id Long) : Response in class br.mil.eb.cds.sisbol.boletim.resources.BoletimResource
b21b3cfe5b3b5525d5cf09eee54fcee12c1c6a19;Rename Parameter;Rename Parameter	idBoletim : Long to id : Long in method public recuperaHistoricoBoletim(id Long) : List<HistoricoBoletim> in class br.mil.eb.cds.sisbol.boletim.resources.BoletimResource
75ac5d718be6f1452d55a00de25137aa6f22ec15;Rename Class;Rename Class	br.mil.eb.cds.sisbol.boletim.servico.requisicoes.RequisicaoTramitarBoletim renamed to br.mil.eb.cds.sisbol.boletim.servico.requisicoes.Tramite
75ac5d718be6f1452d55a00de25137aa6f22ec15;Rename Parameter;Rename Parameter	idNota : Long to id : Long in method public impressaoPDF(id Long) : Response in class br.mil.eb.cds.sisbol.boletim.resources.NotaResource
75ac5d718be6f1452d55a00de25137aa6f22ec15;Rename Parameter;Rename Parameter	idNota : Long to id : Long in method public recuperaHistoricoNota(id Long) : List<HistoricoNota> in class br.mil.eb.cds.sisbol.boletim.resources.NotaResource
8fb077aa194d5d126b9d73e30133a13620bb2e80;Extract Superclass;Extract Superclass	br.mil.eb.cds.sisbol.boletim.repositorio.RepositorioJPAContextualizado from classes [br.mil.eb.cds.sisbol.boletim.repositorio.CategoriaRepositorioJPA]
